Sample	erythromycin
CNST01000000	0
CNUR01000000	0
COCE01000000	0
CFKD01000000	0
COEA01000000	0
COEG01000000	0
COFG01000000	0
CFRQ01000000	0
CNYN01000000	0
CNZL01000000	0
CNPI01000000	0
CNPE01000000	0
CNWY01000000	0
CNXN01000000	0
CFID01000000	0
CNQQ01000000	0
CNTH01000000	0
CNPR01000000	0
COAX01000000	0
CFLT01000000	0
COCF01000000	0
COCX01000000	0
CODD01000000	0
CNYH01000000	0
CHWY01000000	0
CHWZ01000000	0
CNZX01000000	0
CHBO01000000	0
CNWV01000000	0
CNWL01000000	0
CNQJ01000000	0
CNRL01000000	0
CNSB01000000	0
CNRO01000000	0
CNSW01000000	0
CGDZ01000000	1
CNTP01000000	0
CNTJ01000000	0
CNTG01000000	0
CNUU01000000	0
CIDR01000000	0
CNVJ01000000	0
CFLN01000000	0
CNPJ01000000	0
CHIS01000000	0
CNPA01000000	1
CNNG01000000	0
CNOT01000000	0
CNQX01000000	0
CNRU01000000	0
CFQO01000000	0
CNTQ01000000	0
CNUT01000000	0
CNVC01000000	0
CNVD01000000	0
CNVM01000000	0
CNVL01000000	0
CNPH01000000	0
COAM01000000	0
COBM01000000	0
COBY01000000	0
COCA01000000	0
CFKA01000000	0
CFLV01000000	0
CODG01000000	0
CHBV01000000	1
CFRE01000000	0
CODX01000000	0
COEB01000000	0
COEO01000000	0
COES01000000	0
COFS01000000	0
COFT01000000	0
COFW01000000	0
COFV01000000	0
CNYB01000000	0
CNYC01000000	0
CNYK01000000	0
CFJT01000000	0
CNZP01000000	0
CNZR01000000	0
CNZQ01000000	0
CNZW01000000	0
CNNY01000000	0
CNOA01000000	0
CHBF01000000	0
CFRA01000000	0
CNWJ01000000	0
CNWE01000000	0
CNXD01000000	0
CNXF01000000	0
CNXL01000000	0
CNXJ01000000	0
CNQR01000000	0
CNRI01000000	0
CNRX01000000	0
CNSC01000000	0
CNRZ01000000	0
CHIT01000000	1
COAZ01000000	0
COBD01000000	1
COBE01000000	1
COFH01000000	1
CNYF01000000	1
CNYO01000000	1
CHIQ01000000	1
CFIT01000000	1
CNZJ01000000	1
CFIV01000000	1
CNNQ01000000	0
CNNJ01000000	1
CNOI01000000	1
CNOR01000000	1
CIDQ01000000	1
CHWX01000000	1
CNXP01000000	1
CNXE01000000	0
CNXM01000000	1
CNQK01000000	1
CNRS01000000	1
CHBI01000000	1
CFIR01000000	1
CNRG01000000	1
CNSI01000000	0
CNTI01000000	0
CNUK01000000	0
CNUN01000000	0
COCO01000000	0
CODZ01000000	0
COFQ01000000	0
CNYM01000000	0
CFLO01000000	0
COAA01000000	0
COAF01000000	0
CNOY01000000	0
CNPG01000000	0
CNWI01000000	0
CNVZ01000000	0
CNWA01000000	0
CNXQ01000000	0
CFJR01000000	0
CNRN01000000	0
CNRA01000000	0
CIKC01000000	0
CHBX01000000	0
COEU01000000	0
COFN01000000	0
COCT01000000	1
COFF01000000	1
CNWC01000000	1
CNSH01000000	1
CFQE01000000	0
CNVA01000000	0
COAH01000000	0
CHWT01000000	0
COBW01000000	0
CNNT01000000	0
CHBT01000000	0
CIDT01000000	0
CFQZ01000000	0
CNZS01000000	0
COAI01000000	0
CHXE01000000	0
COCY01000000	0
CODW01000000	0
COEI01000000	0
COER01000000	0
COFR01000000	0
CNXX01000000	1
CFRS01000000	0
CFQX01000000	0
CFRD01000000	0
CFQF01000000	0
COAR01000000	0
CFIS01000000	0
CNXK01000000	1
CNUE01000000	0
CNTT01000000	0
CFQD01000000	0
CNPS01000000	0
CIIN01000000	0
CNRF01000000	0
CNRE01000000	0
COEH01000000	0
COBP01000000	0
COBT01000000	0
CIED01000000	0
CFJV01000000	0
CFQV01000000	0
CNZE01000000	0
CNZU01000000	0
COAB01000000	0
CNQM01000000	0
CNRQ01000000	0
CNSY01000000	0
CNSX01000000	0
CNTK01000000	0
CHIP01000000	0
CNVU01000000	0
CFLQ01000000	0
CNPQ01000000	0
CNPW01000000	0
CNPV01000000	0
COBQ01000000	0
COBS01000000	0
CFRH01000000	0
COAU01000000	0
COCC01000000	0
COCH01000000	0
CODB01000000	0
CFRI01000000	0
COEJ01000000	1
CODR01000000	0
COEQ01000000	0
CHXK01000000	0
CHXG01000000	1
COEY01000000	0
CNYY01000000	0
CNXU01000000	0
CNYV01000000	1
CNYZ01000000	1
COAD01000000	1
CFJQ01000000	1
CNPP01000000	1
CNNI01000000	0
CNNP01000000	0
CNNH01000000	0
CFJX01000000	0
CNXB01000000	1
CNXI01000000	0
CNXH01000000	0
CNXO01000000	0
CNQB01000000	0
CNQF01000000	0
CNRM01000000	0
CNRK01000000	0
CNQU01000000	0
CNRB01000000	0
CHBJ01000000	0
COFO01000000	0
CNYI01000000	0
CFIU01000000	0
CNOK01000000	0
CNTC01000000	0
CNTN01000000	0
CNTZ01000000	0
CNUG01000000	0
CNUD01000000	0
CNUH01000000	0
CIDV01000000	0
CNUS01000000	1
CNVH01000000	0
COAK01000000	0
COBC01000000	0
CHXL01000000	0
COBL01000000	0
CFKC01000000	1
COCW01000000	0
CODA01000000	0
CODE01000000	0
CODU01000000	0
CFIW01000000	0
CODK01000000	0
CODS01000000	0
COED01000000	1
CFIF01000000	0
COEW01000000	0
COFJ01000000	0
CHXI01000000	0
CNXW01000000	0
CNZC01000000	0
CNZB01000000	1
CNZG01000000	0
CNZH01000000	0
CNZK01000000	0
CFLR01000000	0
CFIE01000000	0
CNNU01000000	0
CFQR01000000	0
