id,__latitude,__longitude,Sequence Cluster,Sequence Cluster__colour,Sequence Type,Serotype,Benzylpenicillin MIC (ug/mL),Ceftriaxone MIC (ug/mL),Trimethoprim MIC (ug/mL),Erythromycin MIC (ug/mL),Tetracycline MIC (ug/mL),Chloramphenicol MIC (ug/mL),Year of Isolation,Year of Isolation__shape,Community of Isolation,Host Age (months),Sequence Reads Accession,Genome Annotation Accession,samples,tetracycline,tetM
1334,42.4072107,-71.3824374,1,#8F4A4A,585,10A,<0.03,<0.03,0.25/4,<0.03,0.25,,2001,circle,A,Jun-24,ERR069731,CNST02000001-CNST02000153,CNST01000000,0,0
R34-3021,42.4072107,-71.3824374,1,#8F4A4A,585,10A,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,I,36-84,ERR065347,CNPI02000001-CNPI02000197,CNPI01000000,0,0
R34-3024,42.4072107,-71.3824374,1,#8F4A4A,585,10A,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,I,36-84,ERR065350,CNPE02000001-CNPE02000138,CNPE01000000,0,0
R34-3111,42.4072107,-71.3824374,1,#8F4A4A,816,10A,0.12,<=0.25,<=0.25,<=0.06,<=0.50,<=1.00,2004,square,G,24-36,ERR068012,CNWY02000001-CNWY02000163,CNWY01000000,0,0
R34-3157,42.4072107,-71.3824374,1,#8F4A4A,97,10A,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,B,36-84,ERR068048,CNXN02000001-CNXN02000214,CNXN01000000,0,0
R34-3182,42.4072107,-71.3824374,1,#8F4A4A,816,10A,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,<=1.00,2004,square,B,Jun-24,ERR067981,CFID02000001-CFID02000204,CFID01000000,0,0
R34-3184,42.4072107,-71.3824374,1,#8F4A4A,816,10A,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,B,Jun-24,ERR069683,CNQQ02000001-CNQQ02000274,CNQQ01000000,0,0
127530,42.4072107,-71.3824374,1,#8F4A4A,1953,35F,0.06,0.06,0.12/2,<0.03,2,,2001,circle,B,Jun-24,ERR069768,CNTH02000001-CNTH02000239,CNTH01000000,0,0
473937,42.4072107,-71.3824374,1,#8F4A4A,498,35F,<0.03,<0.03,0.12/2,<0.03,0.12,,2001,circle,A,24-36,ERR065968,CNPR02000001-CNPR02000272,CNPR01000000,0,0
R34-3112,42.4072107,-71.3824374,1,#8F4A4A,498,35F,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,G,Jun-24,ERR068013,CHBO02000001-CHBO02000188,CHBO01000000,0,0
