samples	tetracycline
CNST01000000	0
CNPI01000000	0
CNPE01000000	0
CNWY01000000	0
CNXN01000000	0
CFID01000000	0
CNQQ01000000	0
CNTH01000000	0
CNPR01000000	0
CHBO01000000	0
CNWV01000000	0
CNWL01000000	0
CNQJ01000000	0
CNRL01000000	0
CNSB01000000	0
CNRO01000000	0
CNSW01000000	0
CGDZ01000000	0
CNSM01000000	0
CNTP01000000	0
CNTJ01000000	0
CNTG01000000	0
CNUU01000000	0
CIDR01000000	0
CNVJ01000000	0
CFLN01000000	0
CNPJ01000000	0
CNPA01000000	0
CNNG01000000	0
CNOT01000000	0
CNQX01000000	0
CNRU01000000	0
CFQO01000000	0
CNTQ01000000	0
CNUT01000000	0
CNVC01000000	0
CNVD01000000	0
CNVM01000000	0
CNVL01000000	0
CNPH01000000	0
CNNY01000000	0
CNOA01000000	0
CHBF01000000	0
CFRA01000000	0
CNWJ01000000	0
CNWE01000000	0
CNXD01000000	0
CNXF01000000	0
CNXL01000000	0
CNXJ01000000	0
CNQR01000000	0
CNRI01000000	0
CNRX01000000	0
CNSC01000000	0
CNRZ01000000	0
CNNQ01000000	0
CNNJ01000000	0
CNOI01000000	1
CNOR01000000	1
CIDQ01000000	1
CHWX01000000	1
CNXP01000000	1
CNXE01000000	0
CNXM01000000	1
CNQK01000000	1
CNRS01000000	1
CHBI01000000	1
CNRG01000000	1
CNSI01000000	0
CNTI01000000	0
CNUK01000000	0
CNUN01000000	0
CNOY01000000	0
CNPG01000000	0
CNWI01000000	0
CNVZ01000000	0
CNWA01000000	0
CNXQ01000000	0
CFJR01000000	0
CNRN01000000	0
CNRA01000000	0
CNWC01000000	0
CNSH01000000	0
CFQE01000000	0
CNVA01000000	0
COAH01000000	0
CHWT01000000	0
CNNT01000000	0
CFQX01000000	0
CFRD01000000	0
CFQF01000000	0
CNXK01000000	1
CNUE01000000	0
CNTT01000000	0
CFQD01000000	0
CNPS01000000	0
CNRF01000000	0
CNRE01000000	0
CNQM01000000	0
CNRQ01000000	0
CNSY01000000	0
CNSX01000000	1
CNTK01000000	0
CHIP01000000	0
CNVU01000000	0
CFLQ01000000	0
CNPQ01000000	0
CNPW01000000	0
CNPV01000000	0
CFJQ01000000	0
CNPP01000000	0
CNNI01000000	0
CNNP01000000	0
CNNH01000000	0
CFJX01000000	0
CNXB01000000	0
CNXI01000000	0
CNXH01000000	0
CNXO01000000	0
CNQB01000000	0
CNQF01000000	0
CNRM01000000	0
CNRK01000000	0
CNQU01000000	0
CNRB01000000	0
CHBJ01000000	0
CNOK01000000	0
CNTC01000000	0
CNTN01000000	0
CNTZ01000000	0
CNUG01000000	0
CNUD01000000	0
CNUH01000000	0
CIDV01000000	0
CNUS01000000	0
CNNU01000000	0
CFQR01000000	0
CNON01000000	0
CNOP01000000	0
CNWD01000000	0
CNWS01000000	0
CHWW01000000	0
CIIL01000000	0
CNWM01000000	0
CNQV01000000	0
CNRD01000000	0
CIDX01000000	0
CHXD01000000	0
CNUF01000000	0
CIIJ01000000	0
CNVQ01000000	0
CNNW01000000	0
CNNX01000000	0
CNOB01000000	0
CNOC01000000	0
CNOM01000000	0
CNWX01000000	0
CNQG01000000	0
CNQI01000000	0
CNUZ01000000	0
CNPB01000000	0
CNOS01000000	0
CNOU01000000	0
CIKP01000000	0
CHBH01000000	0
CNRC01000000	0
CNSG01000000	0
CNUI01000000	0
CNTX01000000	0
CFLL01000000	0
CHBM01000000	0
CNPX01000000	0
CNPO01000000	0
CNOW01000000	0
CNOZ01000000	0
CNOQ01000000	0
CNQP01000000	0
CNTL01000000	0
CNTA01000000	0
CNUO01000000	0
CNNM01000000	0
CNOF01000000	0
CNOO01000000	0
CNVY01000000	0
CNWB01000000	0
CNWP01000000	0
CNNZ01000000	0
CNSZ01000000	0
CNSL01000000	0
CNUX01000000	0
CNPL01000000	0
CNNL01000000	0
CNOL01000000	0
CNOV01000000	0
CNWN01000000	0
CNVX01000000	0
CNWG01000000	0
CNWT01000000	0
CNXA01000000	0
CNXR01000000	0
CNQO01000000	0
CNQN01000000	0
CNQC01000000	1
CNQS01000000	0
CNRW01000000	0
CNRY01000000	0
CNVO01000000	0
CNPK01000000	0
CNPU01000000	0
CNPF01000000	0
CFQL01000000	0
CNNO01000000	0
CNTB01000000	0
CNSE01000000	0
CHBL01000000	0
CNTU01000000	0
CNTW01000000	0
CNVT01000000	0
CIDS01000000	0
CNPD01000000	1
CNWF01000000	0
CFIP01000000	0
CNXG01000000	0
CNQL01000000	0
CHIO01000000	0
CNSA01000000	0
CHWV01000000	0
CNSO01000000	0
CNSN01000000	0
CNSR01000000	0
CNTV01000000	0
CNVS01000000	0
CNPN01000000	0
CNQT01000000	0
CNQE01000000	0
CNQW01000000	0
CNRR01000000	1
CFQW01000000	0
CNUA01000000	1
CNUB01000000	1
CHBN01000000	1
CNVP01000000	1
CNPT01000000	1
CNOD01000000	1
CHBQ01000000	1
CHBR01000000	1
CNWH01000000	1
CNXS01000000	1
CFRK01000000	1
CHBG01000000	1
CHWU01000000	1
CNSP01000000	0
CNSV01000000	0
CNVG01000000	0
CNVW01000000	0
CFLM01000000	0
CNWU01000000	0
CNRJ01000000	0
CNRH01000000	0
CNRP01000000	0
CNTO01000000	0
CNVB01000000	0
CNUV01000000	0
CNVR01000000	0
CIIR01000000	0
CNSD01000000	0
CNSU01000000	0
CNNK01000000	0
CNQA01000000	0
CNNV01000000	0
CNWK01000000	0
CNQH01000000	0
CNUY01000000	0
CNTR01000000	0
CNNN01000000	0
CNOJ01000000	0
CNXC01000000	0
CNUQ01000000	1
CNUP01000000	0
CNOH01000000	0
CNOE01000000	0
CNSF01000000	0
CHBK01000000	0
CNOG01000000	0
CNWR01000000	0
CHWS01000000	0
CNNS01000000	0
CFQP01000000	1
CNSS01000000	0
CNTY01000000	0
CNUL01000000	0
CFQS01000000	0
CNOX01000000	0
CNNR01000000	0
CHIN01000000	0
CNWZ01000000	0
CFIQ01000000	0
CNQY01000000	0
CNQZ01000000	0
CNRV01000000	0
CNSJ01000000	1
CNTS01000000	1
CNUC01000000	1
CNVF01000000	1
CNTF01000000	0
CIEE01000000	0
CNWQ01000000	0
CNQD01000000	0
CNPM01000000	0
CVKI01000000	0
CNRT01000000	0
CNSQ01000000	0
CNPC01000000	1
CNTD01000000	0
CNUM01000000	0
CNUW01000000	0
CFQU01000000	0
CNVK01000000	0
CNVN01000000	1
CNPY01000000	0
CHBE01000000	0
CNWO01000000	0
CNTM01000000	0
CNPZ01000000	0
CNWW01000000	0
