Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,CR931662_Streptococcus_pneumoniae_strain_34359_serotype_14_fragmented,CR931663_Streptococcus_pneumoniae_strain_389_39_serotype_15a_fragmented,CR931664_Streptococcus_pneumoniae_strain_7904_39_serotype_15b_fragmented,CR931665_Streptococcus_pneumoniae_strain_553_62_serotype_15c_fragmented,CR931666_Streptococcus_pneumoniae_strain_688_63_serotype_15f_fragmented
CR9316631_cds_CAI333471_1,CR931663.1_cds_CAI33347.1_1,CR931663.1_cds_CAI33347.1_1 [gene=wzx] [locus_tag=SPC15A_0015] [db_xref=GOA:Q4K1J8 InterPro:IPR002797 UniProtKB/TrEMBL:Q4K1J8] [protein=flippase Wzx] [protein_id=CAI33347.1] [location=11236..12699] [gbkey=CDS],3,3,1.0,61,1,,,,162,162,162.0,,1_0_14,2_0_19,,4_0_14
CR9316651_cds_CAI333911_1,CR931665.1_cds_CAI33391.1_1,CR931665.1_cds_CAI33391.1_1 [gene=wchM] [locus_tag=SPC15C_0013] [db_xref=GOA:Q4K1L8 InterPro:IPR001173 UniProtKB/TrEMBL:Q4K1L8] [protein=putative glycosyl transferase] [protein_id=CAI33391.1] [location=9307..10263] [gbkey=CDS],3,3,1.0,15,1,,,,717,717,717.0,,1_0_23,,3_0_30,4_0_17
group_22,hypothetical protein,NA,2,2,1.0,48,2,,,,357,357,357.0,,,2_0_30,3_0_29,
group_21,hypothetical protein,NA,2,2,1.0,48,1,,,,153,153,153.0,,,2_0_18,3_0_20,
group_9,hypothetical protein,NA,2,2,1.0,33,3,,,,390,390,390.0,,,2_0_60,3_0_60,
group_8,CR931663.1_cds_CAI33352.1_1,CR931663.1_cds_CAI33352.1_1 [gene=gtp3] [locus_tag=SPC15A_0020] [db_xref=GOA:Q4K1N0 InterPro:IPR005834 InterPro:IPR006357 UniProtKB/TrEMBL:Q4K1N0] [protein=putative phosphotransferase] [protein_id=CAI33352.1] [location=16840..17673] [gbkey=CDS],2,2,1.0,33,2,,,,498,498,498.0,,,2_0_40,3_refound_-5,
group_7,CR931666.1_cds_CAI33421.1_1,CR931666.1_cds_CAI33421.1_1 [gene=gtp3] [locus_tag=SPC15F_0020] [db_xref=GOA:Q4K1N0 InterPro:IPR005834 InterPro:IPR006357 UniProtKB/TrEMBL:Q4K1N0] [protein=putative phosphotransferase] [protein_id=CAI33421.1] [location=17332..18165] [gbkey=CDS],2,2,1.0,33,1,,,,498,498,498.0,,,2_refound_-3,3_0_23,
CR9316631_cds_CAI333421_1,CR931663.1_cds_CAI33342.1_1,CR931663.1_cds_CAI33342.1_1 [gene=wchK] [locus_tag=SPC15A_0010] [db_xref=GOA:Q4K1K3 InterPro:IPR007235 UniProtKB/TrEMBL:Q4K1K3] [protein=putative glycosyl transferase] [protein_id=CAI33342.1] [location=6615..7121] [gbkey=CDS],2,2,1.0,31,2,,,,507,507,507.0,,1_0_20,,,4_0_22
CR9316651_cds_CAI333871_1,CR931665.1_cds_CAI33387.1_1,CR931665.1_cds_CAI33387.1_1 [gene=wchJ] [locus_tag=SPC15C_0009] [db_xref=GOA:Q4K1M2 InterPro:IPR013969 UniProtKB/TrEMBL:Q4K1M2] [protein=putative glycosyl transferase enhancer] [protein_id=CAI33387.1] [location=6163..6612] [gbkey=CDS],2,2,1.0,31,1,,,,216,216,216.0,,1_0_83,,,4_0_37
group_6,CR931664.1_cds_CAI33371.1_1,CR931664.1_cds_CAI33371.1_1 [gene=wciZ] [locus_tag=SPC15B_0016] [db_xref=GOA:Q6X851 InterPro:IPR002656 UniProtKB/TrEMBL:Q6X851] [protein=putative acetyl transferase] [protein_id=CAI33371.1] [location=13021..13998] [gbkey=CDS],2,2,1.0,28,3,,,,246,246,246.0,,1_0_65,,,4_refound_-7
CR9316661_cds_CAI334161_1,CR931666.1_cds_CAI33416.1_1,CR931666.1_cds_CAI33416.1_1 [gene=wzx] [locus_tag=SPC15F_0015] [db_xref=GOA:Q4K1J8 InterPro:IPR002797 UniProtKB/TrEMBL:Q4K1J8] [protein=flippase Wzx] [protein_id=CAI33416.1] [location=11587..13050] [gbkey=CDS],2,2,1.0,28,1,,,,591,591,591.0,,1_0_106,,,4_0_107
CR9316661_cds_CAI334191_1,CR931666.1_cds_CAI33419.1_1,CR931666.1_cds_CAI33419.1_1 [gene=gtp1] [locus_tag=SPC15F_0018] [db_xref=GOA:Q4K1J5 InterPro:IPR002658 InterPro:IPR016205 UniProtKB/TrEMBL:Q4K1J5] [protein=putative glycerol-2-phosphate dehydrogenase] [protein_id=CAI33419.1] [location=15569..16597] [gbkey=CDS],2,2,1.0,7,1,,,,1029,1029,1029.0,,1_0_101,,,4_0_51
