Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,capsule_14_fragmented,capsule_15a_fragmented,capsule_15b_fragmented,capsule_15c_fragmented,capsule_15f_fragmented
group_24,,[gene=wchM] [locus_tag=SPC15A_0013] [db_xref=GOA:Q4K1Q5InterPro:IPR001173UniProtKB/TrEMBL:Q4K1Q5][protein=putative glycosyl transferase] [protein_id=CAI33345.1][location=9351..10307] [gbkey=CDS],3,3,1.0,22,1,,,,717,717,717.0,,KHAAIJFI_00010,,FIBLKPLC_00010,KDPAADCO_00011
group_46,,[gene=gtp3] [locus_tag=SPC15F_0020] [db_xref=GOA:Q4K1N0InterPro:IPR005834InterPro:IPR006357UniProtKB/TrEMBL:Q4K1N0][protein=putative phosphotransferase][protein_id=CAI33421.1] [location=17332..18165] [gbkey=CDS],2,2,1.0,39,2,,,,498,498,498.0,,,IBOCOPLE_00014,FIBLKPLC_00017,
group_45,,IS5 family transposase ISSpn7,2,2,1.0,39,1,,,,390,390,390.0,,,IBOCOPLE_00015,FIBLKPLC_00018,
group_34,,hypothetical protein,2,2,1.0,28,2,,,,357,357,357.0,,,IBOCOPLE_00002,FIBLKPLC_00001,
group_33,,hypothetical protein,2,2,1.0,28,1,,,,153,153,153.0,,,IBOCOPLE_00001,3_refound_0,
group_21,,[gene=wchJ] [locus_tag=SPC15C_0009] [db_xref=GOA:Q4K1M2InterPro:IPR013969UniProtKB/TrEMBL:Q4K1M2][protein=putative glycosyl transferase enhancer] [protein_id=CAI33387.1][location=6163..6612] [gbkey=CDS],2,2,1.0,19,1,,,,216,216,216.0,,KHAAIJFI_00007,,,KDPAADCO_00008
group_1,,[gene=wzg] [locus_tag=SPC14_0004] [db_xref=GOA:Q9R928InterPro:IPR004190InterPro:IPR004474UniProtKB/TrEMBL:Q9R928][protein=integral membrane regulatory protein Wzg] [protein_id=CAI33317.1] [location=1200..2645][gbkey=CDS],2,2,1.0,2,1,,,,696,696,696.0,GAIOKLBP_00002,,IBOCOPLE_00003,,
group_76,,[gene=wcjE] [locus_tag=SPC15F_0024] [db_xref=GOA:Q4K1I9InterPro:IPR002656UniProtKB/TrEMBL:Q4K1I9][protein=putative acetyl transferase] [protein_id=CAI33425.1][location=21116..22183] [gbkey=CDS],1,1,1.0,64,1,,,,408,408,408.0,,,,,KDPAADCO_00018
group_75,,[gene=glf] [locus_tag=SPC15F_0023] [db_xref=GOA:Q4JZV2InterPro:IPR004379InterPro:IPR006076InterPro:IPR015899InterPro:IPR016040UniProtKB/TrEMBL:Q4JZV2][protein=UDP-galactopyranose mutase Glf] [protein_id=CAI33424.1][location=20059..21168] [gbkey=CDS],1,1,1.0,63,1,,,,150,150,150.0,,,,,KDPAADCO_00017
group_74,,[gene=rmlD] [locus_tag=SPC15F_0022] [db_xref=GOA:Q4K1G6InterPro:IPR005913InterPro:IPR016040UniProtKB/TrEMBL:Q4K1G6][protein=dTDP-4-keto-L-rhamnose reductase RmlD] [protein_id=CAI33423.1] [location=19145..19996][gbkey=CDS],1,1,1.0,62,1,,,,618,618,618.0,,,,,KDPAADCO_00016
group_73,,[gene=gtp3] [locus_tag=SPC15F_0020] [db_xref=GOA:Q4K1N0InterPro:IPR005834InterPro:IPR006357UniProtKB/TrEMBL:Q4K1N0][protein=putative phosphotransferase][protein_id=CAI33421.1] [location=17332..18165] [gbkey=CDS],1,1,1.0,61,1,,,,726,726,726.0,,,,,KDPAADCO_00015
group_72,,hypothetical protein,1,1,1.0,60,1,,,,159,159,159.0,,,,,KDPAADCO_00014
group_71,,[gene=wciZ] [locus_tag=SPC15F_0016] [db_xref=GOA:Q4K1J7InterPro:IPR002656UniProtKB/TrEMBL:Q4K1J7][protein=putative acetyl transferase] [protein_id=CAI33417.1][location=13406..14383] [gbkey=CDS],1,1,1.0,59,1,,,,831,831,831.0,,,,,KDPAADCO_00013
group_70,,[gene=wzx] [locus_tag=SPC15F_0015] [db_xref=GOA:Q4K1J8InterPro:IPR002797UniProtKB/TrEMBL:Q4K1J8][protein=flippase Wzx] [protein_id=CAI33416.1] [location=11587..13050][gbkey=CDS],1,1,1.0,58,1,,,,426,426,426.0,,,,,KDPAADCO_00012
group_69,,[gene=wchL] [locus_tag=SPC15C_0012] [db_xref=GOA:Q4K1L9InterPro:IPR001173UniProtKB/TrEMBL:Q4K1L9][protein=putative glycosyl transferase] [protein_id=CAI33390.1][location=8274..9299] [gbkey=CDS],1,1,1.0,57,1,,,,276,276,276.0,,,,,KDPAADCO_00010
group_68,,[gene=wzy] [locus_tag=SPC15F_0011] [db_xref=UniProtKB/TrEMBL:Q4K1K2] [protein=oligosaccharide repeat unit polymerase Wzy] [protein_id=CAI33412.1] [location=7453..8664][gbkey=CDS],1,1,1.0,56,1,,,,435,435,435.0,,,,,KDPAADCO_00009
group_67,,[gene=wchA] [locus_tag=SPC15F_0008] [db_xref=GOA:Q4K1K5InterPro:IPR003362InterPro:IPR017475UniProtKB/TrEMBL:Q4K1K5][protein=undecaprenylphosphate glucosephosphotransferase WchA (initial sugar transferase)] [protein_id=CAI33409.1][location=5146..6513] [gbkey=CDS],1,1,1.0,55,1,,,,252,252,252.0,,,,,KDPAADCO_00007
group_66,,[gene=wze] [locus_tag=SPC15F_0007] [db_xref=GOA:Q4K1K6InterPro:IPR002586InterPro:IPR005702UniProtKB/TrEMBL:Q4K1K6][protein=tyrosine-protein kinase Wze][protein_id=CAI33408.1] [location=4442..5131] [gbkey=CDS],1,1,1.0,54,1,,,,279,279,279.0,,,,,KDPAADCO_00006
group_65,,[gene=wzh] [locus_tag=SPC15F_0005] [db_xref=GOA:Q4K1K8InterPro:IPR004013InterPro:IPR016667UniProtKB/TrEMBL:Q4K1K8][protein=protein-tyrosine phosphatase Wzh] [protein_id=CAI33406.1] [location=3000..3731] [gbkey=CDS],1,1,1.0,53,1,,,,657,657,657.0,,,,,KDPAADCO_00005
group_64,,[gene=wzg] [locus_tag=SPC15F_0004] [db_xref=GOA:Q4K1K9InterPro:IPR004190InterPro:IPR004474UniProtKB/TrEMBL:Q4K1K9][protein=integral membrane regulatory protein Wzg] [protein_id=CAI33405.1] [location=1544..2998][gbkey=CDS],1,1,1.0,52,1,,,,696,696,696.0,,,,,KDPAADCO_00004
group_63,,hypothetical protein,1,1,1.0,51,3,,,,249,249,249.0,,,,,KDPAADCO_00002
group_62,,IS630 family transposase IS630-Spn1,1,1,1.0,51,2,,,,348,348,348.0,,,,,KDPAADCO_00003
group_61,,hypothetical protein,1,1,1.0,51,1,,,,174,174,174.0,,,,,KDPAADCO_00001
group_60,,[gene=gtp2] [locus_tag=SPC15C_0019] [db_xref=GOA:Q6X848InterPro:IPR005835UniProtKB/TrEMBL:Q6X848][protein=putative nucleotidyl transferase] [protein_id=CAI33397.1][location=16230..16934] [gbkey=CDS],1,1,1.0,50,1,,,,603,603,603.0,,,,FIBLKPLC_00016,
