Group,Stat,Type,Value
"('Pbp1a', 'Manual + COGsoft')",Median,AAI,0.988950276243094
"('Pbp1a', 'Prokka + Panaroo')",Median,AAI,0.9889349930843707
"('Pbp1a', 'ggCaller')",Median,AAI,0.988950276243094
"('Pbp2b', 'Manual + COGsoft')",Median,AAI,0.9653679653679653
"('Pbp2b', 'Prokka + Panaroo')",Median,AAI,0.9653179190751445
"('Pbp2b', 'ggCaller')",Median,AAI,0.9653679653679653
"('PspA', 'Manual + COGsoft')",Median,AAI,0.2870748299319728
"('PspA', 'Prokka + Panaroo')",Median,AAI,0.48148148148148145
"('PspA', 'ggCaller')",Median,AAI,0.3020833333333333
"('PsrP', 'Manual + COGsoft')",Median,AAI,0.8133874239350912
"('PsrP', 'Prokka + Panaroo')",Median,AAI,0.1791044776119403
"('PsrP', 'ggCaller')",Median,AAI,0.34886499402628435
"('Pbp1a', 'Manual + COGsoft', 'end')",Median,Length,0.0
"('Pbp1a', 'Manual + COGsoft', 'start')",Median,Length,0.0
"('Pbp1a', 'Manual + COGsoft', 'within')",Median,Length,0.0
"('Pbp1a', 'Prokka + Panaroo', 'end')",Median,Length,0.0
"('Pbp1a', 'Prokka + Panaroo', 'start')",Median,Length,0.0
"('Pbp1a', 'Prokka + Panaroo', 'within')",Median,Length,0.0
"('Pbp1a', 'ggCaller', 'end')",Median,Length,0.0
"('Pbp1a', 'ggCaller', 'start')",Median,Length,0.0
"('Pbp1a', 'ggCaller', 'within')",Median,Length,0.0
"('Pbp2b', 'Manual + COGsoft', 'end')",Median,Length,0.0
"('Pbp2b', 'Manual + COGsoft', 'start')",Median,Length,0.0
"('Pbp2b', 'Manual + COGsoft', 'within')",Median,Length,0.0
"('Pbp2b', 'Prokka + Panaroo', 'end')",Median,Length,0.0
"('Pbp2b', 'Prokka + Panaroo', 'start')",Median,Length,0.0
"('Pbp2b', 'Prokka + Panaroo', 'within')",Median,Length,0.0
"('Pbp2b', 'ggCaller', 'end')",Median,Length,0.0
"('Pbp2b', 'ggCaller', 'start')",Median,Length,0.0
"('Pbp2b', 'ggCaller', 'within')",Median,Length,0.0
"('PspA', 'Manual + COGsoft', 'end')",Median,Length,0.0
"('PspA', 'Manual + COGsoft', 'start')",Median,Length,0.0
"('PspA', 'Manual + COGsoft', 'within')",Median,Length,0.0054869684499314125
"('PspA', 'Prokka + Panaroo', 'end')",Median,Length,0.0
"('PspA', 'Prokka + Panaroo', 'start')",Median,Length,0.0
"('PspA', 'Prokka + Panaroo', 'within')",Median,Length,0.018426103646833013
"('PspA', 'ggCaller', 'end')",Median,Length,0.0
"('PspA', 'ggCaller', 'start')",Median,Length,0.0
"('PspA', 'ggCaller', 'within')",Median,Length,0.0196319018404908
"('PsrP', 'Manual + COGsoft', 'end')",Median,Length,-0.8095441900278194
"('PsrP', 'Manual + COGsoft', 'start')",Median,Length,0.0021399529210357373
"('PsrP', 'Manual + COGsoft', 'within')",Median,Length,0.045153006633854055
"('PsrP', 'Prokka + Panaroo', 'end')",Median,Length,0.00030441400304414006
"('PsrP', 'Prokka + Panaroo', 'start')",Median,Length,-0.00837138508371385
"('PsrP', 'Prokka + Panaroo', 'within')",Median,Length,0.604261796042618
"('PsrP', 'ggCaller', 'end')",Median,Length,0.0
"('PsrP', 'ggCaller', 'start')",Median,Length,-0.45869947275922673
"('PsrP', 'ggCaller', 'within')",Median,Length,0.45166959578207383
"('Pbp1a', 'Manual + COGsoft')",Mean,AAI,0.9279058499751639
"('Pbp1a', 'Prokka + Panaroo')",Mean,AAI,0.9275719701313524
"('Pbp1a', 'ggCaller')",Mean,AAI,0.9277440823485739
"('Pbp2b', 'Manual + COGsoft')",Mean,AAI,0.9624652966275917
"('Pbp2b', 'Prokka + Panaroo')",Mean,AAI,0.9631678582521438
"('Pbp2b', 'ggCaller')",Mean,AAI,0.9610636749537047
"('PspA', 'Manual + COGsoft')",Mean,AAI,0.3437753167524099
"('PspA', 'Prokka + Panaroo')",Mean,AAI,0.41005313770478385
"('PspA', 'ggCaller')",Mean,AAI,0.35754596446418935
"('PsrP', 'Manual + COGsoft')",Mean,AAI,0.8077699861207942
"('PsrP', 'Prokka + Panaroo')",Mean,AAI,0.2849043073216543
"('PsrP', 'ggCaller')",Mean,AAI,0.421394123310199
"('Pbp1a', 'Manual + COGsoft', 'end')",Mean,Length,-0.0007972927481795149
"('Pbp1a', 'Manual + COGsoft', 'start')",Mean,Length,0.0
"('Pbp1a', 'Manual + COGsoft', 'within')",Mean,Length,-1.5502914547935007e-05
"('Pbp1a', 'Prokka + Panaroo', 'end')",Mean,Length,-3.754748652707836e-05
"('Pbp1a', 'Prokka + Panaroo', 'start')",Mean,Length,-0.0008658008658008658
"('Pbp1a', 'Prokka + Panaroo', 'within')",Mean,Length,-1.1043378390317166e-05
"('Pbp1a', 'ggCaller', 'end')",Mean,Length,0.000140210666526456
"('Pbp1a', 'ggCaller', 'start')",Mean,Length,-0.0008127837075205495
"('Pbp1a', 'ggCaller', 'within')",Mean,Length,0.0001665001665001665
"('Pbp2b', 'Manual + COGsoft', 'end')",Mean,Length,-0.0004147834544310315
"('Pbp2b', 'Manual + COGsoft', 'start')",Mean,Length,0.0
"('Pbp2b', 'Manual + COGsoft', 'within')",Mean,Length,-2.383812956500181e-06
"('Pbp2b', 'Prokka + Panaroo', 'end')",Mean,Length,0.0
"('Pbp2b', 'Prokka + Panaroo', 'start')",Mean,Length,-0.0011323111543375861
"('Pbp2b', 'Prokka + Panaroo', 'within')",Mean,Length,-4.767625913000362e-06
"('Pbp2b', 'ggCaller', 'end')",Mean,Length,0.0
"('Pbp2b', 'ggCaller', 'start')",Mean,Length,-0.0011323111543375861
"('Pbp2b', 'ggCaller', 'within')",Mean,Length,-4.767625913000362e-06
"('PspA', 'Manual + COGsoft', 'end')",Mean,Length,-0.12159536079289165
"('PspA', 'Manual + COGsoft', 'start')",Mean,Length,-0.1497624167377254
"('PspA', 'Manual + COGsoft', 'within')",Mean,Length,-0.07878712045378712
"('PspA', 'Prokka + Panaroo', 'end')",Mean,Length,-0.024341423288101814
"('PspA', 'Prokka + Panaroo', 'start')",Mean,Length,-0.09055688939121362
"('PspA', 'Prokka + Panaroo', 'within')",Mean,Length,-0.031851772589565765
"('PspA', 'ggCaller', 'end')",Mean,Length,-0.05343574384490282
"('PspA', 'ggCaller', 'start')",Mean,Length,-0.09534933900133649
"('PspA', 'ggCaller', 'within')",Mean,Length,-0.04340917508010885
"('PsrP', 'Manual + COGsoft', 'end')",Mean,Length,-0.7741117574201246
"('PsrP', 'Manual + COGsoft', 'start')",Mean,Length,0.0018481411590763185
"('PsrP', 'Manual + COGsoft', 'within')",Mean,Length,0.07762192868120538
"('PsrP', 'Prokka + Panaroo', 'end')",Mean,Length,-0.014735812133072406
"('PsrP', 'Prokka + Panaroo', 'start')",Mean,Length,-0.051198811335797643
"('PsrP', 'Prokka + Panaroo', 'within')",Mean,Length,0.5643219540479815
"('PsrP', 'ggCaller', 'end')",Mean,Length,-0.050966608084358524
"('PsrP', 'ggCaller', 'start')",Mean,Length,-0.30756084120222815
"('PsrP', 'ggCaller', 'within')",Mean,Length,0.490359983318936
"('Pbp1a', 'Manual + COGsoft')",IQR,AAI,0.14791123200918077
"('Pbp1a', 'Prokka + Panaroo')",IQR,AAI,0.14810000710277715
"('Pbp1a', 'ggCaller')",IQR,AAI,0.14791123200918077
"('Pbp2b', 'Manual + COGsoft')",IQR,AAI,0.03097438441977307
"('Pbp2b', 'Prokka + Panaroo')",IQR,AAI,0.0324694173750778
"('Pbp2b', 'ggCaller')",IQR,AAI,0.03097438441977307
"('PspA', 'Manual + COGsoft')",IQR,AAI,0.28331937727023626
"('PspA', 'Prokka + Panaroo')",IQR,AAI,0.3446331104200493
"('PspA', 'ggCaller')",IQR,AAI,0.31345556510682004
"('PsrP', 'Manual + COGsoft')",IQR,AAI,0.051464737793851634
"('PsrP', 'Prokka + Panaroo')",IQR,AAI,0.0927434103818716
"('PsrP', 'ggCaller')",IQR,AAI,0.17457667365537857
"('Pbp1a', 'Manual + COGsoft', 'end')",IQR,Length,0.0
"('Pbp1a', 'Manual + COGsoft', 'start')",IQR,Length,0.0
"('Pbp1a', 'Manual + COGsoft', 'within')",IQR,Length,0.0
"('Pbp1a', 'Prokka + Panaroo', 'end')",IQR,Length,0.0
"('Pbp1a', 'Prokka + Panaroo', 'start')",IQR,Length,0.0
"('Pbp1a', 'Prokka + Panaroo', 'within')",IQR,Length,0.0
"('Pbp1a', 'ggCaller', 'end')",IQR,Length,0.0
"('Pbp1a', 'ggCaller', 'start')",IQR,Length,0.0
"('Pbp1a', 'ggCaller', 'within')",IQR,Length,0.0
"('Pbp2b', 'Manual + COGsoft', 'end')",IQR,Length,0.0
"('Pbp2b', 'Manual + COGsoft', 'start')",IQR,Length,0.0
"('Pbp2b', 'Manual + COGsoft', 'within')",IQR,Length,0.0
"('Pbp2b', 'Prokka + Panaroo', 'end')",IQR,Length,0.0
"('Pbp2b', 'Prokka + Panaroo', 'start')",IQR,Length,0.0
"('Pbp2b', 'Prokka + Panaroo', 'within')",IQR,Length,0.0
"('Pbp2b', 'ggCaller', 'end')",IQR,Length,0.0
"('Pbp2b', 'ggCaller', 'start')",IQR,Length,0.0
"('Pbp2b', 'ggCaller', 'within')",IQR,Length,0.0
"('PspA', 'Manual + COGsoft', 'end')",IQR,Length,0.11385459533607682
"('PspA', 'Manual + COGsoft', 'start')",IQR,Length,0.04046639231824417
"('PspA', 'Manual + COGsoft', 'within')",IQR,Length,0.3299039780521262
"('PspA', 'Prokka + Panaroo', 'end')",IQR,Length,0.0
"('PspA', 'Prokka + Panaroo', 'start')",IQR,Length,0.0
"('PspA', 'Prokka + Panaroo', 'within')",IQR,Length,0.0418426103646833
"('PspA', 'ggCaller', 'end')",IQR,Length,0.0
"('PspA', 'ggCaller', 'start')",IQR,Length,0.0
"('PspA', 'ggCaller', 'within')",IQR,Length,0.049897750511247445
"('PsrP', 'Manual + COGsoft', 'end')",IQR,Length,0.010967258720308126
"('PsrP', 'Manual + COGsoft', 'start')",IQR,Length,0.0
