Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,capsule_14_original,capsule_15a_original,capsule_15b_original,capsule_15c_original,capsule_15f_original
group_29,,,5,5,1.0,1,30,,,,1464,1464,1464.0,14,14,14,14,15
group_28,,,5,5,1.0,1,29,,,,849,909,897.0,13,13,13,13,14
group_27,,,5,5,1.0,1,28,,,,957,1002,966.0,12,12,12,12,13
group_26,,,5,5,1.0,1,27,,,,1020,1029,1026.0,11,11,11,11,12
group_24,,,5,5,1.0,1,25,,,,504,507,505.2,9,9,9,9,10
group_23,,,5,5,1.0,1,24,,,,450,450,450.0,8,8,8,8,9
group_22,,,5,5,1.0,1,23,,,,693,693,693.0,5,5,5,5,6
group_21,,,5,5,1.0,1,22,,,,1368,1368,1368.0,7,7,7,7,8
group_20,,,5,5,1.0,1,21,,,,732,732,732.0,4,4,4,4,5
group_19,,,5,5,1.0,1,20,,,,684,690,686.4,6,6,6,6,7
group_18,,,5,5,1.0,1,19,,,,1446,1446,1446.0,3,3,3,3,4
group_17,,,5,5,1.0,1,18,,,,132,132,132.0,1,1,1,1,1
group_16,,,5,5,1.0,1,17,,,,357,363,360.6,2,2,2,2,2
group_14,,,4,4,1.0,1,15,,,,705,705,705.0,,18,18,18,19
group_13,,,4,4,1.0,1,14,,,,246,978,666.0,,15,15,15,16
group_8,,,4,4,1.0,1,9,,,,834,834,834.0,,19,19,19,20
group_5,,,4,4,1.0,1,6,,,,1029,1029,1029.0,,17,17,17,18
group_1,,,4,4,1.0,1,2,,,,1149,1149,1149.0,,16,16,16,17
group_25,,,3,3,1.0,1,26,,,,1098,1173,1123.0,10,,10,10,
group_15,,,3,3,1.0,1,16,,,,390,390,390.0,,20,20,20,
group_3,,,2,2,1.0,1,4,,,,1086,1086,1086.0,,10,,,11
group_12,,,1,1,1.0,1,13,,,,348,348,348.0,,,,,3
group_11,,,1,1,1.0,1,12,,,,519,519,519.0,18,,,,
group_10,,,1,1,1.0,1,11,,,,528,528,528.0,17,,,,
group_9,,,1,1,1.0,1,10,,,,639,639,639.0,,,,,21
group_7,,,1,1,1.0,1,8,,,,852,852,852.0,,,,,22
group_6,,,1,1,1.0,1,7,,,,1029,1029,1029.0,,,,,24
group_4,,,1,1,1.0,1,5,,,,1080,1080,1080.0,15,,,,
group_2,,,1,1,1.0,1,3,,,,1110,1110,1110.0,,,,,23
group_0,,,1,1,1.0,1,1,,,,4074,4074,4074.0,16,,,,
