Gene,Non-unique Gene name,Annotation,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds,scaffolds
group_178,gene-SPN23F_RS10065,gene-SPN23F_RS10065,0_refound_-34,1_refound_-77,2_refound_-118,3_refound_-160,4_refound_-200,5_refound_-246,6_refound_-285,7_refound_-330,8_refound_-369,9_refound_-411,10_refound_-459,11_refound_-499,12_refound_-540,13_refound_-583,14_refound_-626,15_refound_-668,16_refound_-712,17_refound_-751,18_refound_-791,19_refound_-835,20_refound_-879,21_refound_-920,22_refound_-962,23_refound_-1002,24_refound_-1045,25_refound_-1088,26_refound_-1134,27_refound_-1179,28_refound_-1221,29_refound_-1263,30_refound_-1303,31_refound_-1346,32_refound_-1388,33_refound_-1437,34_refound_-1477,35_refound_-1523,36_refound_-1566,37_refound_-1611,38_refound_-1653,39_refound_-1699,40_refound_-1738,41_refound_-1778,42_refound_-1823,43_refound_-1869,44_refound_-1916,45_refound_-1961,46_refound_-2005,47_refound_-2051,48_refound_-2097,49_refound_-2138,50_refound_-2180,51_refound_-2223,52_refound_-2265,53_refound_-2310,54_refound_-2355,55_refound_-2401,56_refound_-2445,57_refound_-2490,58_refound_-2536,59_refound_-2584,60_refound_-2622,61_refound_-2668,62_refound_-2714,63_refound_-2758,64_refound_-2802,65_refound_-2849,66_refound_-2887,67_refound_-2933,68_refound_-2980,69_refound_-3024,70_refound_-3063,71_refound_-3107,72_refound_-3148,73_refound_-3194,74_refound_-3242,75_refound_-3286,76_refound_-3331,77_refound_-3377,78_refound_-3419,79_refound_-3465,80_refound_-3513,81_refound_-3561,82_refound_-3610,83_refound_-3652,84_refound_-3698,85_refound_-3745,86_refound_-3788,87_refound_-3831,88_refound_-3874,89_refound_-3922,90_refound_-3967,91_0_2267,92_refound_-4053,93_refound_-4097,94_refound_-4140,95_refound_-4182,96_refound_-4225,97_refound_-4272,98_refound_-4316,99_refound_-4361
group_177,hypothetical protein,NA,0_refound_-31,1_refound_-75,2_refound_-116,3_refound_-157,4_refound_-197,5_refound_-244,6_refound_-284,7_refound_-328,8_refound_-367,9_refound_-408,10_refound_-458,11_refound_-498,12_refound_-539,13_refound_-580,14_refound_-624,15_refound_-667,16_refound_-709,17_refound_-750,18_refound_-790,19_refound_-833,20_refound_-876,21_refound_-918,22_refound_-961,23_refound_-1000,24_refound_-1043,25_refound_-1086,26_refound_-1132,27_refound_-1177,28_refound_-1220,29_0_3605,30_refound_-1300,31_refound_-1343,32_refound_-1387,33_refound_-1436,34_refound_-1475,35_refound_-1521,36_refound_-1565,37_refound_-1608,38_refound_-1652,39_refound_-1696,40_refound_-1735,41_refound_-1775,42_refound_-1822,43_refound_-1868,44_refound_-1913,45_refound_-1959,46_refound_-2003,47_refound_-2048,48_refound_-2095,49_refound_-2137,50_refound_-2178,51_refound_-2222,52_refound_-2264,53_refound_-2308,54_refound_-2353,55_refound_-2398,56_refound_-2444,57_refound_-2486,58_refound_-2534,59_refound_-2582,60_refound_-2620,61_refound_-2666,62_refound_-2712,63_refound_-2756,64_refound_-2800,65_refound_-2847,66_refound_-2885,67_refound_-2931,68_refound_-2978,69_refound_-3023,70_refound_-3061,71_refound_-3106,72_refound_-3147,73_refound_-3192,74_refound_-3240,75_refound_-3284,76_refound_-3330,77_refound_-3373,78_refound_-3417,79_refound_-3463,80_refound_-3512,81_refound_-3559,82_refound_-3609,83_refound_-3651,84_refound_-3696,85_refound_-3743,86_refound_-3786,87_refound_-3828,88_refound_-3873,89_refound_-3919,90_refound_-3964,91_refound_-4005,92_refound_-4050,93_refound_-4094,94_refound_-4137,95_refound_-4180,96_refound_-4222,97_refound_-4269,98_refound_-4313,99_refound_-4359
geneSPN23F_RS11160,gene-SPN23F_RS11160,gene-SPN23F_RS11160,0_0_9930,1_0_9921,2_0_9922,3_refound_-149,4_refound_-189,5_0_9991,6_0_9950,7_0_9928,8_0_9945,9_0_9908,10_0_9922,11_0_9954,12_0_9942,13_0_9896,14_0_9931,15_0_9950,16_0_9962,17_0_9949,18_0_9965,19_0_9953,20_0_9947,21_0_9930,22_refound_-955,23_0_9930,24_0_9975,25_0_9932,26_0_9905,27_0_9945,28_0_9918,29_0_9908,30_0_9921,31_0_9935,32_0_9939,33_0_9963,34_0_9936,35_0_9993,36_0_10040,37_0_10031,38_0_10033,39_0_10019,40_0_10018,41_0_10032,42_0_10008,43_refound_-1862,44_0_9950,45_refound_-1950,46_refound_-1994,47_0_9995,48_0_9966,49_0_9967,50_refound_-2170,51_0_9965,52_0_9968,53_0_9968,54_0_9996,55_0_9909,56_0_10024,57_0_10008,58_0_9971,59_0_9989,60_0_9950,61_0_9943,62_0_9942,63_0_9941,64_0_9926,65_0_9983,66_0_9892,67_0_9997,68_0_9996,69_0_10006,70_0_9996,71_0_9999,72_0_9972,73_0_9954,74_0_9961,75_0_9964,76_0_9934,77_0_9938,78_0_9938,79_0_9934,80_0_9920,81_0_9958,82_0_9938,83_0_9943,84_0_9942,85_0_9943,86_0_10006,87_0_9981,88_0_9954,89_0_9917,90_0_9968,91_0_9953,92_0_9937,93_0_9947,94_0_9948,95_0_9959,96_0_9950,97_0_9950,98_0_9862,99_0_9933
group_174,gene-SPN23F_RS11140,gene-SPN23F_RS11140,0_refound_-22,1_refound_-68,2_refound_-109,3_refound_-148,4_refound_-188,5_refound_-237,6_refound_-276,7_refound_-320,8_refound_-360,9_refound_-401,10_refound_-450,11_refound_-492,12_refound_-534,13_refound_-572,14_refound_-617,15_refound_-662,16_refound_-701,17_refound_-742,18_refound_-784,19_refound_-825,20_refound_-871,21_refound_-910,22_refound_-954,23_refound_-992,24_refound_-1037,25_refound_-1079,26_refound_-1124,27_refound_-1170,28_refound_-1211,29_refound_-1254,30_refound_-1294,31_refound_-1334,32_refound_-1379,33_refound_-1429,34_refound_-1465,35_refound_-1511,36_refound_-1556,37_refound_-1599,38_refound_-1644,39_refound_-1689,40_refound_-1728,41_refound_-1767,42_refound_-1814,43_refound_-1861,44_refound_-1906,45_refound_-1949,46_refound_-1993,47_refound_-2041,48_0_10530,49_0_10532,50_refound_-2169,51_refound_-2214,52_refound_-2257,53_refound_-2300,54_refound_-2344,55_refound_-2388,56_refound_-2434,57_refound_-2476,58_refound_-2525,59_refound_-2573,60_refound_-2610,61_refound_-2658,62_refound_-2703,63_refound_-2747,64_refound_-2792,65_refound_-2837,66_refound_-2878,67_refound_-2924,68_refound_-2971,69_refound_-3015,70_refound_-3054,71_refound_-3098,72_refound_-3139,73_refound_-3186,74_refound_-3232,75_refound_-3275,76_refound_-3322,77_refound_-3366,78_refound_-3408,79_refound_-3454,80_refound_-3503,81_refound_-3550,82_refound_-3601,83_refound_-3644,84_refound_-3687,85_refound_-3734,86_refound_-3777,87_refound_-3820,88_refound_-3865,89_refound_-3910,90_refound_-3953,91_refound_-3998,92_refound_-4042,93_refound_-4086,94_refound_-4128,95_refound_-4171,96_refound_-4214,97_refound_-4261,98_refound_-4305,99_refound_-4352
group_171,gene-SPN23F_RS00580,gene-SPN23F_RS00580,0_0_10968,1_0_10956,2_0_10959,3_0_10961,4_0_10960,5_0_11026,6_0_10985,7_0_10964,8_0_10984,9_0_10945,10_0_10954,11_0_10990,12_0_10985,13_0_10936,14_0_10967,15_0_10989,16_0_10994,17_0_10980,18_0_11001,19_0_10991,20_0_10985,21_0_10972,22_0_10993,23_0_10972,24_0_11012,25_0_10960,26_0_10936,27_0_10983,28_0_10945,29_0_10934,30_0_10950,31_0_10961,32_0_10968,33_0_11005,34_0_10961,35_0_11023,36_0_11078,37_0_11068,38_0_11072,39_0_11058,40_0_11058,41_0_11076,42_0_11044,43_0_11103,44_0_10984,45_0_11080,46_0_11082,47_0_11033,48_0_11001,49_0_11003,50_0_11015,51_0_11001,52_0_11008,53_0_11011,54_0_11029,55_0_10938,56_0_11059,57_0_11040,58_0_11022,59_0_11039,60_0_10994,61_0_10987,62_0_10987,63_0_10986,64_0_10968,65_0_11023,66_0_10928,67_0_11042,68_0_11041,69_0_11047,70_0_11037,71_0_11049,72_0_11019,73_0_11000,74_0_11010,75_0_11010,76_0_10975,77_0_10975,78_0_10984,79_0_10983,80_0_10968,81_0_11001,82_0_10983,83_0_10990,84_0_10989,85_0_10990,86_0_11058,87_0_11030,88_0_10992,89_0_10959,90_0_11011,91_0_10997,92_0_10976,93_0_10989,94_0_10990,95_0_11002,96_0_10995,97_0_10995,98_0_10905,99_0_10965
group_170,gene-SPN23F_RS11870,gene-SPN23F_RS11870,0_0_5973,1_0_5980,2_0_5979,3_0_6731,4_0_6731,5_0_6030,6_0_6003,7_0_5983,8_0_6741,9_0_6717,10_0_5976,11_0_6741,12_0_6744,13_0_5966,14_0_5992,15_0_5996,16_0_6753,17_0_5998,18_0_6001,19_0_6735,20_0_5990,21_0_5979,22_0_5990,23_0_5980,24_0_6009,25_0_5971,26_0_5966,27_0_5987,28_0_6714,29_0_6713,30_0_11037,31_0_5984,32_0_5972,33_0_5991,34_0_6722,35_0_6016,36_0_6040,37_0_6034,38_0_6045,39_0_6796,40_0_6793,41_0_6797,42_0_6782,43_0_6055,44_0_5985,45_0_6802,46_0_6804,47_0_6016,48_0_6004,49_0_6013,50_0_11102,51_0_6750,52_0_6767,53_0_5999,54_0_6014,55_0_6711,56_0_6789,57_0_6781,58_0_6747,59_0_6012,60_0_6745,61_0_6725,62_0_5969,63_0_5968,64_0_6724,65_0_6010,66_0_5960,67_0_6013,68_0_6013,69_0_6022,70_0_6769,71_0_2188,72_0_5992,73_0_5980,74_0_5983,75_0_6742,76_0_6723,77_0_5983,78_0_11072,79_0_5955,80_0_5957,81_0_6732,82_0_5967,83_0_5966,84_0_5970,85_0_5971,86_0_6778,87_0_5989,88_0_5997,89_0_6708,90_0_5998,91_0_6733,92_0_6726,93_0_6727,94_0_6727,95_0_6742,96_0_5977,97_0_5978,98_0_6682,99_0_11054
group_169,gene-SPN23F_RS11710,gene-SPN23F_RS11710,0_0_9226,1_0_9213,2_0_9218,3_0_9224,4_0_9223,5_0_9285,6_0_9241,7_0_9219,8_0_9236,9_0_9202,10_0_9213,11_0_9243,12_0_9237,13_0_9192,14_0_9225,15_0_9239,16_0_9251,17_0_9242,18_0_9253,19_0_9238,20_0_9237,21_0_9217,22_0_9245,23_0_9217,24_0_9269,25_0_9226,26_0_9201,27_0_9234,28_0_9209,29_0_9203,30_0_9211,31_0_9230,32_0_9232,33_0_9251,34_0_9226,35_0_9275,36_0_9325,37_0_9314,38_0_9319,39_0_9306,40_0_9304,41_0_9315,42_0_9291,43_0_9336,44_0_9242,45_0_9322,46_0_9324,47_0_9287,48_0_9257,49_0_9262,50_0_9271,51_0_9254,52_0_9260,53_0_9257,54_0_9286,55_0_9205,56_0_9312,57_0_9298,58_0_9267,59_0_9283,60_0_9246,61_0_9235,62_0_9234,63_0_9234,64_0_9222,65_0_9271,66_0_9190,67_0_9283,68_0_9282,69_0_9291,70_0_9283,71_0_9284,72_0_9263,73_0_9244,74_0_9254,75_0_9259,76_0_9231,77_0_9231,78_0_9231,79_0_9231,80_0_9217,81_0_9250,82_0_9235,83_0_9239,84_0_9236,85_0_9237,86_0_9299,87_0_9269,88_0_9247,89_0_9214,90_0_9262,91_0_9247,92_0_9233,93_0_9245,94_0_9246,95_0_9258,96_0_9246,97_0_9246,98_0_9159,99_0_9226
geneSPN23F_RS00300,gene-SPN23F_RS00300,gene-SPN23F_RS00300,0_0_2467,1_0_2457,2_0_2458,3_0_2463,4_0_2463,5_0_2479,6_0_2469,7_0_2460,8_0_2468,9_0_2454,10_0_2459,11_0_2463,12_0_2473,13_0_2457,14_0_2463,15_0_2461,16_0_2473,17_0_2471,18_0_2467,19_0_2465,20_0_2466,21_0_2460,22_0_2465,23_0_2460,24_0_2469,25_0_2450,26_0_2453,27_0_2462,28_0_2450,29_0_2453,30_0_2451,31_0_2461,32_0_2456,33_0_2466,34_0_2458,35_0_2472,36_0_2473,37_0_2476,38_0_2484,39_0_2481,40_0_2480,41_0_2487,42_0_2475,43_0_2494,44_0_2461,45_0_2485,46_0_2485,47_0_2471,48_0_2468,49_0_2473,50_0_2468,51_0_2468,52_0_2468,53_0_2470,54_0_2472,55_0_2464,56_0_2479,57_0_2473,58_0_2479,59_0_2484,60_0_2466,61_0_2467,62_0_2469,63_0_2469,64_0_2468,65_0_2493,66_0_7284,67_0_2491,68_0_2491,69_0_2491,70_0_2493,71_0_2488,72_0_11049,73_0_11030,74_0_11040,75_0_11040,76_0_11005,77_0_2467,78_0_11014,79_0_2456,80_0_2457,81_0_2465,82_0_2465,83_0_2462,84_0_2461,85_0_2461,86_0_2485,87_0_2469,88_0_2474,89_0_2454,90_0_2473,91_0_2465,92_0_2459,93_0_2457,94_0_2457,95_0_2466,96_0_2467,97_0_2467,98_0_2445,99_0_2460
group_167,gene-SPN23F_RS00530,gene-SPN23F_RS00530,0_refound_-18,1_refound_-63,2_refound_-105,3_refound_-145,4_refound_-185,5_refound_-232,6_refound_-270,7_refound_-316,8_refound_-355,9_refound_-396,10_refound_-445,11_refound_-487,12_refound_-528,13_refound_-566,14_refound_-613,15_refound_-657,16_refound_-696,17_refound_-737,18_refound_-778,19_refound_-820,20_refound_-867,21_refound_-905,22_refound_-949,23_refound_-987,24_refound_-1032,25_refound_-1074,26_refound_-1118,27_refound_-1165,28_refound_-1206,29_refound_-1249,30_refound_-1289,31_refound_-1329,32_refound_-1374,33_refound_-1424,34_refound_-1461,35_refound_-1506,36_refound_-1550,37_0_10883,38_refound_-1639,39_refound_-1683,40_refound_-1723,41_refound_-1761,42_refound_-1808,43_refound_-1854,44_refound_-1899,45_refound_-1943,46_refound_-1987,47_refound_-2035,48_refound_-2083,49_refound_-2124,50_refound_-2165,51_refound_-2208,52_refound_-2252,53_refound_-2295,54_refound_-2340,55_refound_-2383,56_refound_-2428,57_refound_-2471,58_refound_-2522,59_refound_-2567,60_refound_-2606,61_refound_-2652,62_refound_-2698,63_refound_-2742,64_refound_-2786,65_refound_-2831,66_refound_-2874,67_refound_-2919,68_refound_-2966,69_refound_-3010,70_refound_-3049,71_refound_-3093,72_refound_-3134,73_refound_-3181,74_refound_-3227,75_refound_-3273,76_refound_-3316,77_refound_-3361,78_refound_-3402,79_refound_-3448,80_refound_-3499,81_refound_-3545,82_refound_-3595,83_refound_-3638,84_refound_-3682,85_refound_-3728,86_refound_-3772,87_refound_-3815,88_refound_-3860,89_refound_-3904,90_refound_-3946,91_refound_-3992,92_refound_-4037,93_refound_-4080,94_refound_-4122,95_refound_-4165,96_refound_-4208,97_refound_-4255,98_refound_-4300,99_refound_-4348
