Gene,Non-unique Gene name,Annotation,capsule_14_fragmented,capsule_15a_fragmented,capsule_15b_fragmented,capsule_15c_fragmented,capsule_15f_fragmented
group_111,,,,,,19,21
group_109,,,,,,18,20
group_93,,,,,2_refound_0,28,
group_92,,,,,31,29,
group_65,,,,,3,3,
group_64,,,,,2,2,
group_154,,,,,,,39
group_153,,,,,,,37
group_152,,,,,,,38
group_151,,,,,,,35
group_150,,,,,,,36
group_149,,,,,,,34
group_148,,,,,,,33
group_147,,,,,,,31
group_146,,,,,,,32
group_145,,,,,,,30
group_144,,,,,,,29
group_143,,,,,,,28
group_142,,,,,,,27
group_141,,,,,,,26
group_140,,,,,,,25
group_139,,,,,,,24
group_138,,,,,,,23
group_137,,,,,,,17
group_136,,,,,,,18
group_135,,,,,,,16
group_134,,,,,,,15
group_133,,,,,,,13
group_132,,,,,,,14
group_131,,,,,,,12
group_130,,,,,,,11
group_129,,,,,,,10
group_128,,,,,,,9
group_127,,,,,,,8
group_126,,,,,,,6
group_125,,,,,,,7
group_124,,,,,,,5
group_123,,,,,,,3
group_122,,,,,,,2
group_121,,,,,,,4
group_120,,,,,,,1
group_119,,,,,,26,
group_118,,,,,,27,
group_117,,,,,,25,
group_116,,,,,,24,
group_115,,,,,,22,
group_114,,,,,,23,
group_113,,,,,,21,
group_112,,,,,,20,
group_110,,,,,,,22
group_108,,,,,,,19
group_107,,,,,,16,
group_106,,,,,,17,
group_105,,,,,,14,
group_104,,,,,,15,
group_103,,,,,,12,
group_102,,,,,,13,
group_101,,,,,,11,
group_100,,,,,,10,
group_99,,,,,,9,
group_98,,,,,,8,
group_97,,,,,,7,
group_96,,,,,,6,
group_95,,,,,,5,
group_94,,,,,,4,
group_91,,,,,28,,
group_90,,,,,29,,
group_89,,,,,27,,
group_88,,,,,26,,
group_87,,,,,24,,
group_86,,,,,25,,
group_85,,,,,22,,
group_84,,,,,23,,
group_83,,,,,21,,
group_82,,,,,20,,
group_81,,,,,19,,
group_80,,,,,18,,
group_79,,,,,16,,
group_78,,,,,17,,
group_77,,,,,15,,
group_76,,,,,14,,
group_75,,,,,13,,
group_74,,,,,12,,
group_73,,,,,10,,
group_72,,,,,11,,
group_71,,,,,8,,
group_70,,,,,9,,
group_69,,,,,7,,
group_68,,,,,6,,
group_67,,,,,5,,
group_66,,,,,4,,
group_63,,,,,,1,
group_62,,,,,1,,
group_61,,,,33,,,
group_60,,,,32,,,
group_59,,,,30,,,
group_58,,,,31,,,
group_57,,,,28,,,
group_56,,,,29,,,
group_55,,,,27,,,
group_54,,,,26,,,
group_53,,,,24,,,
group_52,,,,25,,,
group_51,,,,23,,,
group_50,,,,22,,,
group_49,,,,20,,,
group_48,,,,21,,,
group_47,,,,18,,,
group_46,,,,19,,,
group_45,,,,16,,,
group_44,,,,17,,,
group_43,,,,14,,,
group_42,,,,15,,,
group_41,,,,13,,,
group_40,,,,12,,,
group_39,,,,11,,,
group_38,,,,10,,,
group_37,,,,9,,,
group_36,,,,7,,,
group_35,,,,8,,,
group_34,,,,5,,,
group_33,,,,6,,,
group_32,,,,4,,,
group_31,,,,3,,,
group_30,,,,2,,,
group_29,,,,1,,,
group_28,,,29,,,,
group_27,,,27,,,,
group_26,,,28,,,,
group_25,,,25,,,,
group_24,,,26,,,,
group_23,,,24,,,,
group_22,,,23,,,,
group_21,,,21,,,,
group_20,,,22,,,,
group_19,,,20,,,,
group_18,,,19,,,,
group_17,,,18,,,,
group_16,,,17,,,,
group_15,,,15,,,,
group_14,,,16,,,,
group_13,,,14,,,,
group_12,,,13,,,,
group_11,,,11,,,,
group_10,,,12,,,,
group_9,,,10,,,,
group_8,,,9,,,,
group_7,,,7,,,,
group_6,,,8,,,,
group_5,,,5,,,,
group_4,,,6,,,,
group_3,,,3,,,,
group_2,,,4,,,,
group_1,,,1,,,,
group_0,,,2,,,,
